syb,code
VNINDEX,0
FPT,1
FRT,1
FTS,1
FOX,1
FOC,1
VIX,2
GEX,2
GEE,2
VGC,2
IDC,2
MHC,2
HCM,3
VIX,3
VND,3
CTS,3
BSI,3
FTS,3
BVS,3
MBS,3
GVR,4
PHR,4
TRC,4
DPR,4
DRI,4
CSM,4
HDC,5
DXG,5
DXS,5
NVL,5
PDR,5
DPG,5
NLG,5
CEO,5
CII,5
VIC,6
VHM,6
VRE,6
VPL,6
LPB,6
ACB,7
CTG,7
VCB,7
TCB,7
TPB,7
STB,7
LPB,7
HDB,7
BID,7
VPB,7
SHB,7
MBB,7
NAB,7
THD,8
LPB,8
STB,8
VJC,9
HDB,9
HVN,9
ACV,9
GEX,11
POW,11
PC1,11
GEE,11
HDG,11
NT2,11
DCM,12
DPM,12
DGC,12
CSV,12
DDV,12
PAC,12
LAS,12
BFC,12
MWG,13
PET,13
PNJ,13
DGW,13
MSN,14
MCH,14
TCB,14
MSR,14
BSR,15
PLX,15
PVD,15
PVT,15
OIL,15
PVS,15
GAS,15
PVC,15
PVP,15
PLC,15
HPG,16
HSG,16
NKG,16
TVN,16

