syb,code
VNINDEX,0
NVL,0
CII,0
DIG,0
DXG,0
CEO,0
TCH,0
PDR,0
KDH,0
NLG,0
HUT,0
VRE,0
VHM,0
VIC,0
KHG,0
IJC,0
SCR,0
DXS,0
HHS,0
HQC,0
HDG,0
KBC,0
HDC,0
VIX,1
SSI,1
VCI,1
SHS,1
VND,1
MBS,1
HCM,1
ORS,1
VCK,1
TCX,1
CTS,1
VPX,1
FTS,1
APS,1
VDS,1
AAS,1
SBS,1
PSI,1
DSE,1
BSI,1
EVS,1
AGR,1
APG,1
TVS,1
SHB,2
MBB,2
VPB,2
TCB,2
CTG,2
TPB,2
ACB,2
ABB,2
MSB,2
VIB,2
HDB,2
VCB,2
EIB,2
BID,2
STB,2
LPB,2
OCB,2
SSB,2
NAB,2
EVF,2
BVB,2
NVB,2
VAB,2
KLB,2
HPG,3
NKG,3
HSG,3
TVN,3
TLH,3
SHI,3
SMC,3
VGS,3
BSR,4
PVD,4
PLX,4
PVS,4
PVT,4
GAS,4
OIL,4
PVP,4
PVC,4
PVB,4
PNJ,5
MWG,5
MSN,5
DGW,5
FRT,5
MCH,5
PET,5
BVH,6
MIG,6
GVR,7
GEL,7
IDC,7
KBC,7
BCM,7
PHR,7
SZC,7
VGC,7
DTD,7
SIP,7
FPT,8
YEG,8
ELC,8
VTP,8
CTR,8
VGI,8
CMG,8
FOX,8
GEX,9
POW,9
PC1,9
HDG,9
GEE,9
REE,9
NT2,9
VNE,9
GEG,9
QTP,9
TV2,9
SJE,9
HVN,10
VJC,10
ACV,10
VTD,10
SCS,10
DAH,10
DCL,11
JVC,11
TCM,12
TNG,12
GIL,12
VGT,12
ADS,12
VSC,13
PVT,13
GMD,13
VOS,13
PVP,13
HAH,13
TCO,13
DXP,13
PHP,13
VTO,13
DPM,14
DCM,14
DGC,14
CSV,14
LAS,14
DDV,14
PAC,14
BFC,14
CTF,15
DRC,15
PAC,15
CSM,15
HAX,15
AAA,16
APH,16
NTP,16
BMP,16
VNM,17
MSN,17
HNG,17
HAG,17
DBC,17
PAN,17
AFX,17
VLC,17
NAF,17
MCM,17
QNS,17
KDC,17
VHC,17
HHP,18
SBT,18
DHC,18
QNS,18
GEX,19
HUT,19
VCG,19
HHV,19
ACC,19
PC1,19
LCG,19
EVG,19
CRC,19
HBC,19
FCN,19
TTF,19
VNE,19
CTR,19
VGC,19
C4G,19
HVH,19
LIG,19
CIG,19
HT1,19
CTI,19
C69,19
DTD,19
DC4,19
NHA,19
VC7,19
BCC,19
BCE,19
BMP,19
CII,20
VCG,20
HHV,20
LCG,20
KSB,20
DPG,20
FCN,20
CTD,20
C4G,20
HT1,20
CTI,20
TV2,20
BCC,20
ANV,21
VHC,21
ASM,21
IDI,21
FMC,21
CMX,21
GVR,22
PHR,22
DRI,22
DPR,22
TRC,22
MSR,23
KSV,23
